nom,total,libres,occupation_pct,heure,jour_semaine,minute
Parc Relais Les Aubiers,234,232,0.85,12,1,39
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,12,1,39
Les Bassins,274,131,52.19,12,1,39
Pey Berland - Saint Christoly,399,99,75.19,12,1,39
Bassins A Flots,250,133,46.8,12,1,39
Brienne,300,172,42.67,12,1,39
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,12,1,39
Merignac Centre,285,201,29.47,12,1,39
P3 Belcier Arret Minute - Gare Saint Jean,103,7,93.2,12,1,39
Amedee St Germain,639,258,59.62,12,1,39
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,12,1,39
Belvedere,400,348,13.0,12,1,39
Amplitude,396,145,63.38,12,1,39
Parc Relais Brandenburg,211,2,99.05,12,1,41
Bord'Eau Village,540,263,51.3,12,1,41
Clemenceau,379,209,44.85,12,1,41
Meunier - Saint Jean,323,114,64.71,12,1,41
P4 Belcier -  Gare Saint Jean,600,0,100.0,12,1,41
Grand Parc,341,118,65.4,12,1,41
Parc Relais Quarante Journaux,200,185,7.5,12,1,41
Parc Relais Cantinolle,620,534,13.87,12,1,41
Parc Relais De L'Hippodrome,250,61,75.6,12,1,41
Centre Commercant Ginko,930,804,13.55,12,1,41
Parc Relais La Gardette Nord,242,62,74.38,12,1,41
Parc Relais Gare De Begles,193,193,0.0,12,1,41
Begles Les Secheries,400,231,42.25,12,1,41
Parc Relais Gare De Blanquefort,206,2,99.03,12,1,41
Victor Hugo,634,257,59.46,12,1,41
Victoire,466,243,47.85,12,1,41
Tourny,950,260,72.63,12,1,41
Front Du Medoc,70,70,0.0,12,1,41
Centre Commercial Meriadeck,1230,743,39.59,12,1,41
Huit Mai 45,399,106,73.43,12,1,41
Gambetta,438,46,89.5,12,1,41
Capucins,270,0,100.0,12,1,41
Camille Jullian,338,197,41.72,12,1,41
Republique,361,122,66.2,12,1,41
Grands Hommes,415,158,61.93,12,1,41
Bourse - Jaures,1300,795,38.85,12,1,41
Salinieres,400,94,76.5,12,1,41
P3 Belcier - Gare Saint Jean,767,0,100.0,12,1,41
Parc Relais Ravezies Le Bouscat,366,45,87.7,12,1,41
Liberation,137,31,77.37,12,1,41
Laharpe,80,9,88.75,12,1,41
Parc Relais Gare De Bruges ,57,44,22.81,12,1,41
Parc Relais Floirac Dravemont,52,52,0.0,12,1,41
Floirac Arena,962,945,1.77,12,1,41
Parc Relais Le Haillan Rostand,204,135,33.82,12,1,41
Parc Relais La Gardette Sud,151,107,29.14,12,1,41
Parc Relais Lauriers,149,69,53.69,12,1,41
Parc Relais Buttiniere,600,1,99.83,12,1,41
Parc Relais Arlac,393,387,1.53,12,1,41
Parc Relais Quatre Chemins,396,219,44.7,12,1,41
Pessac Centre,400,247,38.25,12,1,41
Parc Relais Bougnard,168,168,0.0,12,1,41
Parc Relais Unitec,218,0,100.0,12,1,41
Parc Relais Gare De Pessac Alouette,148,104,29.73,12,1,41
Parc Relais Arts Et Metiers,590,593,0.0,12,1,41
Parc Relais Cap Metiers,146,131,10.27,12,1,41
Ars - Belcier,225,134,40.44,12,1,41
Parc Relais Les Pins,220,201,8.64,12,1,41
Parc Relais Villenave Pyrenees,399,163,59.15,12,1,41
Cite Mondiale,842,218,74.11,12,1,41
Gare Saint Jean,267,18,93.26,12,1,41
Porte De Bordeaux,344,95,72.38,12,1,41
Allees De Chartres,415,52,87.47,12,1,41
Parc Relais Stalingrad,120,4,96.67,12,1,41
Parc Relais Galin,279,0,100.0,12,1,41
Bergonie,69,46,33.33,12,1,41
Beaujon,92,20,78.26,12,1,41
Paludate - Saint Jean,566,125,77.92,12,1,41
Parc Relais Les Aubiers,234,232,0.85,12,1,41
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,12,1,41
Les Bassins,274,131,52.19,12,1,41
Pey Berland - Saint Christoly,399,99,75.19,12,1,41
Bassins A Flots,250,131,47.6,12,1,41
Brienne,300,172,42.67,12,1,41
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,12,1,41
Merignac Centre,285,201,29.47,12,1,41
P3 Belcier Arret Minute - Gare Saint Jean,103,7,93.2,12,1,41
Amedee St Germain,639,256,59.94,12,1,41
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,12,1,41
Belvedere,400,348,13.0,12,1,41
Amplitude,396,144,63.64,12,1,41
Parc Relais Brandenburg,211,2,99.05,12,1,43
Bord'Eau Village,540,263,51.3,12,1,43
Clemenceau,379,209,44.85,12,1,43
Meunier - Saint Jean,323,114,64.71,12,1,43
P4 Belcier -  Gare Saint Jean,600,0,100.0,12,1,43
Grand Parc,341,118,65.4,12,1,43
Parc Relais Quarante Journaux,200,185,7.5,12,1,43
Parc Relais Cantinolle,620,534,13.87,12,1,43
Parc Relais De L'Hippodrome,250,61,75.6,12,1,43
Centre Commercant Ginko,930,804,13.55,12,1,43
Parc Relais La Gardette Nord,242,62,74.38,12,1,43
Parc Relais Gare De Begles,193,193,0.0,12,1,43
Begles Les Secheries,400,231,42.25,12,1,43
Parc Relais Gare De Blanquefort,206,2,99.03,12,1,43
Victor Hugo,634,257,59.46,12,1,43
Victoire,466,243,47.85,12,1,43
Tourny,950,260,72.63,12,1,43
Front Du Medoc,70,70,0.0,12,1,43
Centre Commercial Meriadeck,1230,743,39.59,12,1,43
Huit Mai 45,399,106,73.43,12,1,43
Gambetta,438,46,89.5,12,1,43
Capucins,270,0,100.0,12,1,43
Camille Jullian,338,197,41.72,12,1,43
Republique,361,122,66.2,12,1,43
Grands Hommes,415,158,61.93,12,1,43
Bourse - Jaures,1300,795,38.85,12,1,43
Salinieres,400,94,76.5,12,1,43
P3 Belcier - Gare Saint Jean,767,0,100.0,12,1,43
Parc Relais Ravezies Le Bouscat,366,45,87.7,12,1,43
Liberation,137,31,77.37,12,1,43
Laharpe,80,9,88.75,12,1,43
Parc Relais Gare De Bruges ,57,44,22.81,12,1,43
Parc Relais Floirac Dravemont,52,52,0.0,12,1,43
Floirac Arena,962,945,1.77,12,1,43
Parc Relais Le Haillan Rostand,204,135,33.82,12,1,43
Parc Relais La Gardette Sud,151,107,29.14,12,1,43
Parc Relais Lauriers,149,69,53.69,12,1,43
Parc Relais Buttiniere,600,1,99.83,12,1,43
Parc Relais Arlac,393,387,1.53,12,1,43
Parc Relais Quatre Chemins,396,219,44.7,12,1,43
Pessac Centre,400,247,38.25,12,1,43
Parc Relais Bougnard,168,168,0.0,12,1,43
Parc Relais Unitec,218,0,100.0,12,1,43
Parc Relais Gare De Pessac Alouette,148,104,29.73,12,1,43
Parc Relais Arts Et Metiers,590,593,0.0,12,1,43
Parc Relais Cap Metiers,146,131,10.27,12,1,43
Ars - Belcier,225,134,40.44,12,1,43
Parc Relais Les Pins,220,201,8.64,12,1,43
Parc Relais Villenave Pyrenees,399,163,59.15,12,1,43
Cite Mondiale,842,218,74.11,12,1,43
Gare Saint Jean,267,18,93.26,12,1,43
Porte De Bordeaux,344,95,72.38,12,1,43
Allees De Chartres,415,52,87.47,12,1,43
Parc Relais Stalingrad,120,4,96.67,12,1,43
Parc Relais Galin,279,0,100.0,12,1,43
Bergonie,69,46,33.33,12,1,43
Beaujon,92,20,78.26,12,1,43
Paludate - Saint Jean,566,125,77.92,12,1,43
Parc Relais Les Aubiers,234,232,0.85,12,1,43
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,12,1,43
Les Bassins,274,131,52.19,12,1,43
Pey Berland - Saint Christoly,399,99,75.19,12,1,43
Bassins A Flots,250,131,47.6,12,1,43
Brienne,300,172,42.67,12,1,43
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,12,1,43
Merignac Centre,285,201,29.47,12,1,43
P3 Belcier Arret Minute - Gare Saint Jean,103,7,93.2,12,1,43
Amedee St Germain,639,256,59.94,12,1,43
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,12,1,43
Belvedere,400,348,13.0,12,1,43
Amplitude,396,144,63.64,12,1,43
Parc Relais Brandenburg,211,0,100.0,12,1,45
Bord'Eau Village,540,264,51.11,12,1,45
Clemenceau,379,210,44.59,12,1,45
Meunier - Saint Jean,323,114,64.71,12,1,45
P4 Belcier -  Gare Saint Jean,600,0,100.0,12,1,45
Grand Parc,341,121,64.52,12,1,45
Parc Relais Quarante Journaux,200,185,7.5,12,1,45
Parc Relais Cantinolle,620,534,13.87,12,1,45
Parc Relais De L'Hippodrome,250,60,76.0,12,1,45
Centre Commercant Ginko,930,807,13.23,12,1,45
Parc Relais La Gardette Nord,242,63,73.97,12,1,45
Parc Relais Gare De Begles,193,193,0.0,12,1,45
Begles Les Secheries,300,294,2.0,12,1,45
Parc Relais Gare De Blanquefort,206,2,99.03,12,1,45
Victor Hugo,634,256,59.62,12,1,45
Victoire,466,243,47.85,12,1,45
Tourny,950,252,73.47,12,1,45
Front Du Medoc,70,70,0.0,12,1,45
Centre Commercial Meriadeck,1230,743,39.59,12,1,45
Huit Mai 45,399,105,73.68,12,1,45
Gambetta,438,45,89.73,12,1,45
Capucins,270,0,100.0,12,1,45
Camille Jullian,338,198,41.42,12,1,45
Republique,361,119,67.04,12,1,45
Grands Hommes,415,156,62.41,12,1,45
Bourse - Jaures,1300,795,38.85,12,1,45
Salinieres,400,95,76.25,12,1,45
P3 Belcier - Gare Saint Jean,767,0,100.0,12,1,45
Parc Relais Ravezies Le Bouscat,366,43,88.25,12,1,45
Liberation,137,32,76.64,12,1,45
Laharpe,80,10,87.5,12,1,45
Parc Relais Gare De Bruges ,57,44,22.81,12,1,45
Parc Relais Floirac Dravemont,52,52,0.0,12,1,45
Floirac Arena,962,945,1.77,12,1,45
Parc Relais Le Haillan Rostand,204,134,34.31,12,1,45
Parc Relais La Gardette Sud,151,107,29.14,12,1,45
Parc Relais Lauriers,149,69,53.69,12,1,45
Parc Relais Buttiniere,600,5,99.17,12,1,45
Parc Relais Arlac,393,387,1.53,12,1,45
Parc Relais Quatre Chemins,396,221,44.19,12,1,45
Pessac Centre,400,247,38.25,12,1,45
Parc Relais Bougnard,168,168,0.0,12,1,45
Parc Relais Unitec,218,0,100.0,12,1,45
Parc Relais Gare De Pessac Alouette,148,101,31.76,12,1,45
Parc Relais Arts Et Metiers,590,593,0.0,12,1,45
